M,N,K,kernel,block_x,block_y,warmup_iterations,benchmark_iterations,time_ms,gflops,speedup_vs_naive
512,512,512,Naive,16,16,10,500,0.130683,2054.090052,1.000000
512,512,512,Tiled Runtime,16,16,10,500,0.145886,1840.041154,0.895794
512,512,512,Tiled Constant,16,16,10,500,0.097440,2754.883143,1.341170
512,512,512,cuBLAS,0,0,10,500,0.030243,8875.876228,4.321074
1024,1024,1024,Naive,16,16,10,500,0.954446,2249.978597,1.000000
1024,1024,1024,Tiled Runtime,16,16,10,500,0.981453,2188.065301,0.972483
1024,1024,1024,Tiled Constant,16,16,10,500,0.647140,3318.423754,1.474869
1024,1024,1024,cuBLAS,0,0,10,500,0.120689,17793.463743,7.908281
2048,2048,2048,Naive,16,16,10,500,7.227630,2376.971426,1.000000
2048,2048,2048,Tiled Runtime,16,16,10,500,7.642327,2247.989191,0.945737
2048,2048,2048,Tiled Constant,16,16,10,500,5.212090,3296.157723,1.386705
2048,2048,2048,cuBLAS,0,0,10,500,0.766012,22427.675929,9.435400
4096,4096,4096,Naive,16,16,10,500,68.040688,2019.952449,1.000000
4096,4096,4096,Tiled Runtime,16,16,10,500,71.274323,1928.309504,0.954631
4096,4096,4096,Tiled Constant,16,16,10,500,50.520485,2720.459902,1.346794
4096,4096,4096,cuBLAS,0,0,10,500,6.590871,20852.927701,10.323475
