M,N,K,kernel,block_x,block_y,warmup_iterations,benchmark_iterations,time_ms,gflops,speedup_vs_naive,relative_to_cublas
512,512,512,Naive,8,8,10,100,0.157445,1704.942654,1.000000,0.190703
512,512,512,Naive,16,16,10,100,0.130556,2056.096911,1.000000,0.229980
512,512,512,Naive,32,32,10,100,0.139805,1920.073308,1.000000,0.214766
512,512,512,Tiled Runtime,8,8,10,100,0.166282,1614.339371,0.946858,0.180569
512,512,512,Tiled Runtime,16,16,10,100,0.144343,1859.704773,0.904483,0.208013
512,512,512,Tiled Runtime,32,32,10,100,0.165856,1618.485011,0.842929,0.181032
512,512,512,Tiled Constant,8,8,10,100,0.124124,2162.647898,1.268458,0.241898
512,512,512,Tiled Constant,16,16,10,100,0.097595,2750.507580,1.337732,0.307652
512,512,512,Tiled Constant,32,32,10,100,0.107927,2487.186353,1.295360,0.278199
512,512,512,cuBLAS,0,0,10,100,0.030025,8940.315081,4.348197,1.000000
1024,1024,1024,Naive,8,8,10,100,1.153997,1860.909494,1.000000,0.098250
1024,1024,1024,Naive,16,16,10,100,0.954767,2249.221784,1.000000,0.118752
1024,1024,1024,Naive,32,32,10,100,0.982175,2186.456469,1.000000,0.115438
1024,1024,1024,Tiled Runtime,8,8,10,100,1.244225,1725.960492,0.927482,0.091125
1024,1024,1024,Tiled Runtime,16,16,10,100,1.046138,2052.772253,0.912659,0.108380
1024,1024,1024,Tiled Runtime,32,32,10,100,1.049279,2046.627923,0.936048,0.108055
1024,1024,1024,Tiled Constant,8,8,10,100,0.843527,2545.839683,1.368062,0.134412
1024,1024,1024,Tiled Constant,16,16,10,100,0.655861,3274.294730,1.455746,0.172872
1024,1024,1024,Tiled Constant,32,32,10,100,0.700066,3067.544948,1.402976,0.161956
1024,1024,1024,cuBLAS,0,0,10,100,0.113380,18940.559928,8.420939,1.000000
2048,2048,2048,Naive,8,8,10,100,8.851311,1940.940693,1.000000,0.081760
2048,2048,2048,Naive,16,16,10,100,7.100981,2419.365523,1.000000,0.101913
2048,2048,2048,Naive,32,32,10,100,7.098405,2420.243465,1.000000,0.101950
2048,2048,2048,Tiled Runtime,8,8,10,100,9.586784,1792.036676,0.923283,0.075488
2048,2048,2048,Tiled Runtime,16,16,10,100,7.687393,2234.810921,0.923718,0.094139
2048,2048,2048,Tiled Runtime,32,32,10,100,8.082912,2125.455311,0.878199,0.089533
2048,2048,2048,Tiled Constant,8,8,10,100,7.164310,2397.979441,1.235473,0.101012
2048,2048,2048,Tiled Constant,16,16,10,100,5.108274,3363.145289,1.390094,0.141669
2048,2048,2048,Tiled Constant,32,32,10,100,5.345477,3213.907829,1.327927,0.135383
2048,2048,2048,cuBLAS,0,0,10,100,0.723684,23739.446441,9.808702,1.000000
4096,4096,4096,Naive,8,8,10,100,94.710892,1451.142007,1.000000,0.071233
4096,4096,4096,Naive,16,16,10,100,67.919342,2023.561321,1.000000,0.099332
4096,4096,4096,Naive,32,32,10,100,69.759033,1970.195789,1.000000,0.096712
4096,4096,4096,Tiled Runtime,8,8,10,100,92.282372,1489.330532,1.026316,0.073108
4096,4096,4096,Tiled Runtime,16,16,10,100,71.168098,1931.187659,0.954351,0.094797
4096,4096,4096,Tiled Runtime,32,32,10,100,72.687569,1890.817866,0.959711,0.092816
4096,4096,4096,Tiled Constant,8,8,10,100,69.847015,1967.714049,1.355976,0.096590
4096,4096,4096,Tiled Constant,16,16,10,100,50.442039,2724.690652,1.346483,0.133748
4096,4096,4096,Tiled Constant,32,32,10,100,50.002754,2748.627663,1.395104,0.134923
4096,4096,4096,cuBLAS,0,0,10,100,6.746534,20371.785926,10.067293,1.000000
